Trial,Location,Lat,Lon,Year,rep,col,row,geno,yield
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,22,g073,2.681
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,23,g074,2.156
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,24,g075,2.152
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,25,g076,3.167
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,26,g077,2.541
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,1,g078,1.154
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,2,g079,2.906
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,3,g080,2.339
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,4,g081,2.653
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,5,g082,2.16
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,6,g083,3
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,7,g084,2.207
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,8,g085,2.677
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,9,g086,2.429
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,10,g087,1.939
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,11,g088,2.919
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,12,g089,2.475
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,13,g090,3.011
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,14,g091,2.319
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,15,g092,3.679
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,16,g093,1.341
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,17,g094,1.965
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,18,g095,1.769
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,19,g096,1.598
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,20,g097,1.328
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,21,g098,2.222
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,22,g099,2.42
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,23,g100,2.389
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,24,g101,2.6
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,25,g102,0.95
CM08,Coomalbidgup,-33.8,120.64,2008,1,4,26,g103,2.281
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,1,g104,2.347
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,2,g105,2.009
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,3,g106,2.385
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,4,g107,2.969
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,5,g108,2.633
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,6,g109,2.189
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,7,g110,3.629
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,8,g009,2.211
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,9,g111,3.71
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,10,g112,2.389
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,11,g113,2.492
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,12,g114,1.567
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,13,g115,1.156
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,14,g116,2.923
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,15,g117,2.042
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,16,g118,2.345
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,17,g119,3.158
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,18,g009,2.626
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,19,g120,2.618
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,20,g121,1.695
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,21,g122,1.277
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,22,g123,2.855
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,23,g124,2.484
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,24,g125,3.218
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,25,g126,2.958
CM08,Coomalbidgup,-33.8,120.64,2008,1,5,26,g127,2.826
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,1,g128,2.259
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,2,g129,0.809
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,3,g130,2.15
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,4,g131,2.323
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,5,g132,1.789
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,6,g133,2.323
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,7,g134,1.765
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,8,g135,2.119
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,9,g136,2.477
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,10,g137,1.571
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,11,g138,2.539
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,12,g139,2.33
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,13,g140,2.226
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,14,g141,2.646
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,15,g142,3.026
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,16,g143,2.499
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,17,g144,3.35
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,18,g145,0.925
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,19,g146,2.89
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,20,g147,2.989
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,21,g148,1.965
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,22,g149,2.387
